timestamp,ip,country,region,city,lat,lon,page,userAgent
2025-12-10T23:31:16.316Z,1.2.3.4,Test,T,C,0,0,/test,curl-test
2025-12-10T23:34:51.789Z,2a00:fbc:f39b:ee0a:ec1f:31d1:8d6d:8471,Germany,Baden-Wurttemberg,Stuttgart,48.767,9.1827,/,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1
2025-12-10T23:57:32.636Z,54.175.69.135,United States,Virginia,Ashburn,39.0373,-77.4805,/,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36
